Missile Category	Missile Name	missile_quanity	Fleet Name	icao_code	munition_weight	munition_length	origin_place	unit_cost	fleet_options	Range	warhead	warhead_weight
Air-to-air missiles	Python-5	6	F-16 Fighting Falcon	F-16	103.6 kilograms (228 pounds 6 ounces)	3.1 metres (10 feet)	Israel			>20 kilometres (12 miles)		11 kg (24 lb 4 oz)
Air-to-surface missiles	AGM-65 Maverick	6	F-16 Fighting Falcon	F-16		249 cm (8 ft 2 in)[2]	United States	US$17,000 to $110,000, depending on variant[1]		Greater than 22 km (12 nmi)[3]		
Air-to-surface missiles	AGM-88 HARM	2	F-16 Fighting Falcon	F-16	796 lb (361 kg)	13 ft 8 in (4.17 m)		US$284,000	F-4G, EA-6B, F-15E, F-16, F/A-18, EA-18G, Tornado IDS/ECR,  Eurofighter Typhoon, F-35 (Not internally), MiG-29,  Su-27 (integration by Ukraine during the 2022 Russian invasion of Ukraine)	Low-level — 13 nmi (25 km) Medium-level - 43 nmi (80 km) Standoff — 80 nmi (148 km) AGM-88G — 121 nmi (225 km)		150 lb (68 kg)
Air-to-surface missiles	AGM-158 Joint Air-to-Surface Standoff Missile (JASSM)	1	F-16 Fighting Falcon	F-16	2,251 lb (1,021 kg)	14.0 ft (4.27 m)		US$1,266,000	B-1 Lancer B-2 Spirit B-52 Stratofortress F-15E Strike Eagle F-16 Fighting Falcon F/A-18 Hornet	JASSM: 230 mi (370 km) JASSM-ER: > 575 mi (925 km) JASSM-XR: > 1,200 mi (1,900 km)	WDU-42/B penetrator	1,000 lb (450 kg)
Air-to-surface missiles	AGM-154 Joint Standoff Weapon (JSOW)	4	F-16 Fighting Falcon	F-16	483 to 497 kg (1,065 to 1,095 lb)	410 cm (160 in)		AUPP AGM-154A: $282,000 AGM-154B: $484,167 AGM-154C: $719,012		low altitude release: 22 kilometres (12 nmi) high altitude release: 130 kilometres (70 nmi)	BLU-97/B - Combined Effects Bomblets (JSOW A) BLU-108 - Sensor fused weapon (JSOW B - now cancelled) BROACH multi-stage warhead (JSOW C)	
Anti-ship missiles	AGM-84 Harpoon	2	F-16 Fighting Falcon	F-16	1,523 lb (691 kg) including booster	12.6 ft (3.8 m), air-launched; 15 ft (4.6 m), surface- and submarine-launched		US$1,406,812 for Harpoon Block II		75 nmi (139 km), ship-launched Harpoon Block I & Block IC Greater than 67 nmi (124 km), ship-launched Harpoon Block II 120 nmi (220 km), air-launched Block IC		
Anti-ship missiles	AGM-119 Penguin	4	F-16 Fighting Falcon	F-16	385 kg (849 lb) (MK2), 370 kg (820 lb) (MK3)	3.0 m (MK2), 3.2 m (MK3)			 naval ships, helicopters (MK2), fixed-wing aircraft (MK3)	34+ km (MK2), 55+ km (MK3)	120 kg (MK2), 130 kg (MK3)	
Guns	20 mm (0.787 in) M61A1 Vulcan 6-barrel rotary cannon	1	F-16 Fighting Falcon	F-16	M61A1: 248 lb (112 kg) M61A2: 202 lb (92 kg) (light barrel), 228 lb (103 kg) (heavy barrel)	71.93 in (1.827 m)						
Hardpoints	Wing-tip air-to-air missile launch rai	2	F-16 Fighting Falcon	F-16								
Hardpoints	Under-wing pylon stations	6	F-16 Fighting Falcon	F-16								
Hardpoints	Under-fuselage pylon	3	F-16 Fighting Falcon	F-16								
Rockets	LAU-61/LAU-68 rocket pods	4	F-16 Fighting Falcon	F-16	~10 kg (22 lbs.)	1080 mm (42 1/2 in.)	United States					
Rockets	LAU-5003 rocket pods	4	F-16 Fighting Falcon	F-16	42.5 kg	149 cm						
Rockets	LAU-10 rocket pods	4	F-16 Fighting Falcon	F-16	79.5 pounds (36.1 kg)	77 inches (2,000 mm)	United States			5 miles (8.0 km)		
Bombs	CBU-87 Combined Effects Munition	8	F-16 Fighting Falcon	F-16	951 pounds (431 kg)	7 feet 7 inches (2.31 meters)						
Bombs	CBU-89 Gator mine	8	F-16 Fighting Falcon	F-16	450 kilograms (1,000 lb)	2.34 metres (7 ft 8 in)	United States			Freefall		
Bombs	CBU-97 Sensor Fuzed Weapon	8	F-16 Fighting Falcon	F-16	927 pounds (420 kg)	92 inches (234 cm)		$360,000 - baseline [$ FY90]			Armour Piercing	
Bombs	Mark 84 general-purpose bombs	4	F-16 Fighting Falcon	F-16	2039 lb (925 kg)	129 in (3280 mm)	United States	$3,100				
Bombs	Mark 83 GP bombs	8	F-16 Fighting Falcon	F-16	1014 lb (459 kg)	119.49 inches (3000 mm)	United States					
Bombs	Mark 82 GP Bombs	12	F-16 Fighting Falcon	F-16	500 pounds (227 kg)	87.4 inches (2.22 m)	United States	$2,082.50 (in 2001)				
Bombs	GBU-39 Small Diameter Bomb (SDB)	8	F-16 Fighting Falcon	F-16	285 lb (129 kg)	70.8 in (1.80 m)	United States	US$40,000 (SDB) US$250,000FY2014 (SDB II)		All SDB I variants more than 69 mi (110 km) SDB II (GBU-53/B) 28 mi (45 km) against moving targets	        SDB I (GBU-39/B) SDB FLM (GBU-39A/B) Laser SDB (GBU-39B/B)	36 lb (16 kg) 137 lb (62 kg) 36 lb (16 kg)
Bombs	GBU-10 Paveway II	4	F-16 Fighting Falcon	F-16	2,000 lb (910 kg)	14 ft 4 in (4.37 m)				More than 8 nmi (9.2 mi; 15 km)		
Bombs	GBU-12 Paveway II	6	F-16 Fighting Falcon	F-16	230 kg (510 lb)	3.27 m (10.7 ft)	United States	US $21,896		14.8 km (9.2 mi)		
Bombs	GBU-24 Paveway III	4	F-16 Fighting Falcon	F-16	1,050 kg (2,315 lb)	4.39 m (14 ft 5 in)	USA					
Bombs	GBU-27 Paveway III	4	F-16 Fighting Falcon	F-16	900 kg (2,000 lb)	4.2 m (14 ft)	United States	US $ 55,600		19 km (12 mi)		
Bombs	Joint Direct Attack Munition (JDAM) series	4	F-16 Fighting Falcon	F-16		9.9–12.75 feet (3.02–3.89 m)	United States	About US$25,000 (Depends on acquisition lot. Foreign sales have considerably higher prices.		Up to 15 nautical miles (28 km)		
Others	300/330/370/600 US gallon Sargent Fletcher drop tanks	3	F-16 Fighting Falcon	F-16								
F-35A	25 mm GAU-22/A cannon	1	F-35 Lightning II	F-35								
standard internal loadout	AIM-120 AMRAAMs	2	F-35 Lightning II	F-35	 AIM-120A/B/C-3/4 – 348 lb (157.8 kg) AIM-120C-5/6/7 – 356 lb (161.5 kg) AIM-120D – 358 lb (162.4 kg)	12 ft (3.65 m)	United States	US$1,090,000 (AIM-120D FY 2019)	Boeing F/A-18E/F Super Hornet British Aerospace Hawk 200 Eurofighter Typhoon General Dynamics F-16 Fighting Falcon KAI FA-50 Golden Eagle Lockheed Martin F-22 Raptor Lockheed Martin F-35 Lightning II McDonnell Douglas AV-8B+ Harrier II McDonnell Douglas F-4 Phantom II McDonnell Douglas F-15 Eagle McDonnell Douglas F-15E Strike Eagle McDonnell Douglas F/A-18 Hornet Northrop F-5 S/T Panavia Tornado ADV Sea Harrier FA2 Saab JAS 39 Gripen Saab JA37 Viggen Surface-launched:  NASAMS SLAMRAAM		High explosive blast-fragmentation	AIM-120A/B – 49 lb (22 kg) AIM-120C/D – 44 lb (20 kg)
standard internal loadout	GBU-31 JDAMs	2	F-35 Lightning II	F-35	2,000-pound		United States	$18,000				
Air-to-surface missiles	internally mounted M61A1 20 mm six-barrel cannon (940 rd)	1	F-15 Eagle	F-15								
Air-to-surface missiles	AIM-9 Sidewinders	4	F-15 Eagle	F-15	188 pounds (85.3 kg)	9 feet 11 inches (3.02 m)	United States	US$381,069.74 (Block II) US$399,500.00 (Block II Plus) US$209,492.75 (training missile) (All as in 2019)	Aircraft, naval vessels, fixed launchers, and ground vehicles	0.6 to 22 miles (1.0 to 35.4 km)[not verified in body]	WDU-17/B annular blast-fragmentation	20.8 lb (9.4 kg)
Air-to-surface missiles	AIM-120 AMRAAMs	4	F-15 Eagle	F-15	AIM-120A/B/C-3/4 – 348 lb (157.8 kg)AIM-120C-5/6/7 – 356 lb (161.5 kg)AIM-120D – 358 lb (162.4 kg)	12 ft (3.65 m)	United States	US$1,090,000	    Boeing F/A-18E/F Super Hornet     British Aerospace Hawk 200     Eurofighter Typhoon     General Dynamics F-16 Fighting Falcon     KAI FA-50 Golden Eagle     Lockheed Martin F-22 Raptor     Lockheed Martin F-35 Lightning II     McDonnell Douglas AV-8B+ Harrier II     McDonnell Douglas F-4 Phantom II     McDonnell Douglas F-15 Eagle     McDonnell Douglas F-15E Strike Eagle     McDonnell Douglas F/A-18 Hornet     Northrop F-5 S/T     Panavia Tornado ADV     Sea Harrier FA2     Saab JAS 39 Gripen     Saab JA37 Viggen	AIM-120A/B/C-3/4 – 27 nmi (50 km)AIM-120C-5/6/7 – 57 nmi (105 km)AIM-120D – 86 nmi (160 km)	High explosive blast-fragmentation	IM-120A/B – 49 lb (22 kg)  AIM-120C/D – 44 lb (20 kg)
Others	internally mounted 30 mm, seven-barrel GAU-8/A cannon (1,174 rd of high-explosive incendiary (HEI) or HEI/armor-piercing incendiary)	1	A-10 Thunderbolt II	A-10	619.5 lb (281 kg) 	19 ft 10.5 in (6.06 m) (total system)  112.28 in (2.85 m) (gun only)	United States					
Others	AIM-9 Sidewinders	4	A-10 Thunderbolt II	A-10	188 pounds (85.3 kg)	9 feet 11 inches (3.02 m)	United States	US$381,069.74 (Block II) US$399,500.00 (Block II Plus) US$209,492.75 (training missile)		0.6 to 22 miles (1.0 to 35.4 km)	WDU-17/B annular blast-fragmentation	20.8 lb (9.4 kg)
Others	laser-guided rockets		A-10 Thunderbolt II	A-10	32 lb (15 kg)	73.8 in (1.87 m)	United States	$22,000		1,100–5,000 m (0.68–3.11 mi) (rotary wing); 2–11 km (1.2–6.8 mi) (fixed wing)		
Others	AGM-65 Mavericks		A-10 Thunderbolt II	A-10	210–304 kg (462–670 lb)	249 cm (8 ft 2 in)	United States	US$17,000 to $110,000, depending on variant		Greater than 22 km (12 nmi)	57 kg (126 lb) WDU-20/B shaped-charge (A/B/C/D/H models)136 kg (300 lb) WDU-24/B penetrating blast-fragmentation (E/F/G/J/K models)E models utilize FMU-135/B delayed impact fuze	
HardPoints	50 cal gun on six wing-mounted		AT-6 Wolverine	AT-6								
Rockets	laserguided rockets (APKWS)		AT-6 Wolverine	AT-6	32 lb (15 kg)	73.8 in (1.87 m)	United States	$22,000		,100–5,000 m (0.68–3.11 mi) (rotary wing); 2–11 km (1.2–6.8 mi) (fixed wing)		
Others	Wide-array of laser/inertial-guided PGMs		AT-6 Wolverine	AT-6								
Others	AGM-114 Hellfire		AT-6 Wolverine	AT-6	100–108 lb (45–49 kg)	64 in (1.6 m)	United States	US$150,000  US$117,000 		550 to 12,030 yd (0.5 to 11 km)		
Others	incl laser- and GPS-guided 2,000-lb		F-117 Nighthawk	F-117								
Others	Full internal carriage of a variety of tactical weapons		F-117 Nighthawk	F-117								
Others	mounted M61A1 20 mm six-barrel cannon (500 rd)	1	F-15E Strike Eagle	F-15E								
Others	AIM-9 Sidewinders	4	F-15E Strike Eagle	F-15E	188 pounds (85.3 kg)	9 feet 11 inches (3.02 m)		US$381,069.74 (Block II) US$399,500.00 (Block II Plus) US$209,492.75 (training missile)	Aircraft, naval vessels, fixed launchers, and ground vehicles	0.6 to 22 miles (1.0 to 35.4 km)	WDU-17/B annular blast-fragmentation[	20.8 lb (9.4 kg)[
Others	AIM-120 AMRAAMs	4	F-15E Strike Eagle	F-15E	 AIM-120A/B/C-3/4 – 348 lb (157.8 kg) AIM-120C-5/6/7 – 356 lb (161.5 kg) AIM-120D – 358 lb (162.4 kg)	12 ft (3.65 m)	United States	US$1,090,000 (AIM-120D FY 2019)	Boeing F/A-18E/F Super Hornet British Aerospace Hawk 200 Eurofighter Typhoon General Dynamics F-16 Fighting Falcon KAI FA-50 Golden Eagle Lockheed Martin F-22 Raptor Lockheed Martin F-35 Lightning II McDonnell Douglas AV-8B+ Harrier II McDonnell Douglas F-4 Phantom II McDonnell Douglas F-15 Eagle McDonnell Douglas F-15E Strike Eagle McDonnell Douglas F/A-18 Hornet Northrop F-5 S/T Panavia Tornado ADV Sea Harrier FA2 Saab JAS 39 Gripen Saab JA37 Viggen Surface-launched:  NASAMS SLAMRAAM	 range AIM-120A/B/C-3/4 – 27 nmi (50 km) AIM-120C-5/6/7 – 57 nmi (105 km) AIM-120D – 86 nmi (160 km)	High explosive blast-fragmentation	 AIM-120A/B – 49 lb (22 kg) AIM-120C/D – 44 lb (20 kg)
Others	AIM-120s	8	F-15E Strike Eagle	F-15E	 AIM-120A/B/C-3/4 – 348 lb (157.8 kg) AIM-120C-5/6/7 – 356 lb (161.5 kg) AIM-120D – 358 lb (162.4 kg)	12 ft (3.65 m)	United States	US$1,090,000 (AIM-120D FY 2019)	Boeing F/A-18E/F Super Hornet British Aerospace Hawk 200 Eurofighter Typhoon General Dynamics F-16 Fighting Falcon KAI FA-50 Golden Eagle Lockheed Martin F-22 Raptor Lockheed Martin F-35 Lightning II McDonnell Douglas AV-8B+ Harrier II McDonnell Douglas F-4 Phantom II McDonnell Douglas F-15 Eagle McDonnell Douglas F-15E Strike Eagle McDonnell Douglas F/A-18 Hornet Northrop F-5 S/T Panavia Tornado ADV Sea Harrier FA2 Saab JAS 39 Gripen Saab JA37 Viggen Surface-launched:  NASAMS SLAMRAAM	 range AIM-120A/B/C-3/4 – 27 nmi (50 km) AIM-120C-5/6/7 – 57 nmi (105 km) AIM-120D – 86 nmi (160 km)	High explosive blast-fragmentation	 AIM-120A/B – 49 lb (22 kg) AIM-120C/D – 44 lb (20 kg)
Others	M61A1 20 mm six-barrel cannon (500 rd)	1	F-15EX Eagle II	F-15EX								
Others	AIM-9 Sidewinders 	12	F-15EX Eagle II	F-15EX	188 pounds (85.3 kg)	9 feet 11 inches (3.02 m)		US$381,069.74 (Block II) US$399,500.00 (Block II Plus) US$209,492.75 (training missile)		0.6 to 22 miles (1.0 to 35.4 km)	WDU-17/B annular blast-fragmentation	20.8 lb (9.4 kg)
Others	AIM-120 AMRAAMs	12	F-15EX Eagle II	F-15EX	AIM-120A/B/C-3/4 – 348 lb (157.8 kg)AIM-120C-5/6/7 – 356 lb (161.5 kg)AIM-120D – 358 lb (162.4 kg)	12 ft (3.65 m)	United States	US$1,090,000 (AIM-120D FY 2019)	Boeing F/A-18E/F Super HornetBritish Aerospace Hawk 200Eurofighter TyphoonGeneral Dynamics F-16 Fighting FalconKAI FA-50 Golden EagleLockheed Martin F-22 RaptorLockheed Martin F-35 Lightning IIMcDonnell Douglas AV-8B+ Harrier IIMcDonnell Douglas F-4 Phantom IIMcDonnell Douglas F-15 EagleMcDonnell Douglas F-15E Strike EagleMcDonnell Douglas F/A-18 HornetNorthrop F-5 S/TPanavia Tornado ADVSea Harrier FA2Saab JAS 39 GripenSaab JA37 Viggen	IM-120A/B/C-3/4 – 27 nmi (50 km)AIM-120C-5/6/7 – 57 nmi (105 km)AIM-120D – 86 nmi (160 km)	High explosive blast-fragmentation	AIM-120A/B – 49 lb (22 kg)AIM-120C/D – 44 lb (20 kg)
